time,Total,dep1,dep16,dep38,dep92,dep1_store1,dep1_store2,dep1_store3,dep1_store4,dep1_store5,dep1_store6,dep1_store7,dep1_store8,dep1_store9,dep1_store10,dep1_store11,dep1_store12,dep1_store13,dep1_store14,dep1_store15,dep1_store16,dep1_store17,dep1_store18,dep1_store19,dep1_store20,dep1_store21,dep1_store22,dep1_store23,dep1_store24,dep1_store25,dep1_store26,dep1_store27,dep1_store28,dep1_store29,dep1_store30,dep1_store31,dep1_store32,dep1_store33,dep1_store34,dep1_store35,dep1_store36,dep1_store37,dep1_store38,dep1_store39,dep1_store40,dep1_store41,dep1_store42,dep1_store43,dep1_store44,dep1_store45,dep16_store1,dep16_store2,dep16_store3,dep16_store4,dep16_store5,dep16_store6,dep16_store7,dep16_store8,dep16_store9,dep16_store10,dep16_store11,dep16_store12,dep16_store13,dep16_store14,dep16_store15,dep16_store16,dep16_store17,dep16_store18,dep16_store19,dep16_store20,dep16_store21,dep16_store22,dep16_store23,dep16_store24,dep16_store25,dep16_store26,dep16_store27,dep16_store28,dep16_store29,dep16_store30,dep16_store31,dep16_store32,dep16_store33,dep16_store34,dep16_store35,dep16_store36,dep16_store37,dep16_store38,dep16_store39,dep16_store40,dep16_store41,dep16_store42,dep16_store43,dep16_store44,dep16_store45,dep38_store1,dep38_store2,dep38_store3,dep38_store4,dep38_store5,dep38_store6,dep38_store7,dep38_store8,dep38_store9,dep38_store10,dep38_store11,dep38_store12,dep38_store13,dep38_store14,dep38_store15,dep38_store16,dep38_store17,dep38_store18,dep38_store19,dep38_store20,dep38_store21,dep38_store22,dep38_store23,dep38_store24,dep38_store25,dep38_store26,dep38_store27,dep38_store28,dep38_store29,dep38_store30,dep38_store31,dep38_store32,dep38_store33,dep38_store34,dep38_store35,dep38_store36,dep38_store37,dep38_store38,dep38_store39,dep38_store40,dep38_store41,dep38_store42,dep38_store43,dep38_store44,dep38_store45,dep92_store1,dep92_store2,dep92_store3,dep92_store4,dep92_store5,dep92_store6,dep92_store7,dep92_store8,dep92_store9,dep92_store10,dep92_store11,dep92_store12,dep92_store13,dep92_store14,dep92_store15,dep92_store16,dep92_store17,dep92_store18,dep92_store19,dep92_store20,dep92_store21,dep92_store22,dep92_store23,dep92_store24,dep92_store25,dep92_store26,dep92_store27,dep92_store28,dep92_store29,dep92_store30,dep92_store31,dep92_store32,dep92_store33,dep92_store34,dep92_store35,dep92_store36,dep92_store37,dep92_store38,dep92_store39,dep92_store40,dep92_store41,dep92_store42,dep92_store43,dep92_store44,dep92_store45
2010-02-05,7887149.91,881833.41,201198.58,3022955.05,3781162.87,24924.5,35034.06,6453.58,38724.42,9323.89,25619.0,8970.97,16181.89,12861.4,40212.84,19611.13,17426.75,46761.9,32842.31,12239.38,12786.85,20304.23,22252.71,21500.58,46021.21,15501.96,20686.31,32452.79,17309.89,17778.48,22926.65,32313.79,23176.07,14715.68,10158.77,18187.71,22675.43,1586.58,20347.48,23067.89,2144.48,11283.23,6732.38,21244.5,18116.85,16971.05,10425.77,6476.76,6871.2,18628.11,10217.55,9674.86,3701.57,7437.73,4545.64,11819.17,2774.48,2955.93,3859.87,25694.43,5893.96,4565.72,3333.44,10433.45,1698.71,1811.37,2105.28,4413.61,4929.87,6485.21,2043.85,3781.94,4269.59,5874.16,4227.52,2372.46,4946.92,4495.94,1182.65,974.31,2561.38,2294.73,318.39,4084.86,2257.07,325.0,1355.9,751.76,6507.73,3263.97,1618.63,1057.53,2145.66,553.64,9581.14,115564.35,113144.9,155897.94,88153.66,63077.83,100213.47,37611.7,58048.83,83916.56,96408.49,80470.89,47649.88,76828.94,129530.62,59646.12,57776.81,64439.76,83588.25,91759.83,111554.95,53149.41,65423.3,45776.67,67626.61,47159.1,116562.22,48683.49,55748.69,40349.81,62401.01,89335.15,59338.76,7132.73,58078.66,42167.01,16633.09,87327.28,38258.19,39219.9,39101.66,36139.93,40559.37,53986.39,44870.17,52642.67,139884.94,178982.89,6805.18,165765.5,6459.34,111241.81,23071.14,62183.21,11620.09,54538.9,90342.72,24628.25,166872.27,293966.05,19520.26,15694.3,51133.0,50069.98,128753.26,195223.84,20135.71,56676.95,51295.23,135963.44,42270.21,91402.2,177605.86,135470.78,27445.55,61467.01,129993.58,103403.45,39884.19,66261.91,58637.68,63964.12,64289.49,49727.31,101393.65,115500.67,111703.57,85713.08,88056.65,37940.57,68203.08
2010-02-12,7840317.39,1457182.4,252750.16999999998,2686547.52,3443837.3,46039.49,60483.7,12748.72,69872.44,16861.1,43749.81,14026.65,34262.09,20273.94,67699.32,39996.04,37734.82,78415.94,39972.64,23252.04,18305.6,40434.79,38184.43,40188.68,52734.17,26220.41,36372.35,50360.71,31931.41,21868.27,30333.08,50566.61,40543.21,25741.59,14346.05,30255.61,36390.07,3767.0,36644.15,32214.61,4091.72,16184.33,9132.55,39584.16,26138.18,30204.01,15725.68,18597.64,12315.65,22416.94,11873.89,9987.62,4451.31,8880.79,6757.42,11118.67,4071.71,4953.25,3340.89,24555.89,6932.63,3859.33,4341.0,16731.47,2075.28,2217.5,2001.37,7141.89,5484.17,14294.06,2284.85,7046.11,5292.73,7324.8,5467.19,2366.11,8250.14,5139.84,2889.56,1434.73,4213.56,2780.22,335.07,5399.65,3582.9,645.55,1905.4,652.12,10815.56,3334.55,2537.85,1462.6,4099.41,479.42,7940.11,94136.35,100344.36,112533.94,85038.65,48204.05,101825.18,36727.96,44418.55,76652.26,107043.76,84722.8,52075.88,86170.12,92253.07,56105.96,43115.55,73037.45,70880.24,83045.95,96517.75,35528.41,67649.77,41097.0,52523.29,42355.73,93034.52,36882.71,46075.46,37345.73,53977.43,76104.22,59427.82,7202.38,43551.82,30558.81,19268.17,89384.14,32975.25,38759.0,29701.58,34077.34,37671.85,51168.66,43004.37,42372.23,143081.42,182142.89,6532.07,163407.19,5183.41,105728.28,24200.25,66182.09,11080.5,52893.1,86857.1,22476.63,153435.29,151901.21,18695.53,15794.05,46393.8,42991.74,120060.34,170043.55,19428.95,48682.59,44063.81,130761.81,34081.22,88291.71,156617.26,101007.94,24050.17,67502.19,142037.68,101905.95,44249.26,70028.03,46047.35,64766.61,59918.91,43432.52,97260.48,97370.18,104195.26,92622.01,95351.96,36184.1,44898.91
2010-02-19,7431163.79,1118257.36,287206.07,2712708.65,3312991.71,41595.55,58221.52,8918.31,49937.09,11417.67,34750.82,12477.79,22319.25,14819.97,49748.33,25294.18,22135.29,44042.19,35163.18,17391.31,13714.98,23375.58,26068.39,32365.74,55649.79,26567.03,23035.7,28504.7,24879.99,21305.96,27534.54,42607.96,30763.19,18411.25,12321.18,27499.8,25515.17,3359.0,27545.97,30489.08,3101.57,10722.08,8045.28,23025.91,23172.75,20694.24,13300.99,9939.45,7751.11,28756.53,13855.54,11495.54,6472.84,10692.7,5245.2,18668.96,3733.69,5911.55,6438.41,33321.92,9788.73,6935.88,4881.69,11945.07,2675.0,2002.29,2237.13,5582.23,6512.47,12728.46,2003.61,4144.83,5888.94,8184.17,4494.47,3665.48,7403.93,9495.67,1749.32,1288.46,3149.51,4801.87,465.6,9078.15,2789.81,704.54,1557.32,627.14,16390.81,4421.52,3885.3,1066.34,2668.95,433.0,5722.03,98672.59,93181.36,119958.78,78996.92,46842.44,103021.56,33632.79,51576.41,73690.21,92035.9,78865.1,45110.67,77093.57,116192.24,45123.33,49663.5,70361.72,64172.48,81801.23,107796.01,46254.43,57065.04,39303.06,47577.66,40615.53,104809.75,38491.41,47036.39,39656.74,67650.63,83233.48,58568.8,9745.22,51352.42,35822.78,15733.48,73869.07,39096.0,39931.67,31395.33,31428.62,37550.0,52487.53,42627.99,53616.81,135066.75,170825.81,6062.13,155428.24,5038.12,100089.54,22774.94,59279.25,10233.49,48087.25,80379.19,20659.03,157625.49,192282.19,16810.01,15573.63,44128.41,39553.43,112784.16,164314.29,20265.91,47680.34,43278.5,112987.25,39058.17,77237.57,174346.67,87334.57,22096.3,55925.03,129298.5,95023.7,40227.14,65753.7,48509.95,64863.57,58865.72,38191.67,95355.88,86883.33,97183.5,74798.45,93169.6,35243.52,52417.82
2010-02-26,6932979.96,681391.58,290113.93,2757264.39,3204210.06,19403.54,25962.32,4992.0,30107.54,7168.41,19896.08,8602.73,11722.71,10530.98,33601.22,14342.11,14942.21,31574.04,21433.52,9236.15,11182.72,16343.01,16951.62,15770.97,36805.42,12887.75,14843.93,23033.73,12892.24,16994.59,19051.04,17493.55,21378.38,11489.09,10099.28,14869.9,18008.32,1048.7,15768.0,16313.76,1451.39,9256.03,5951.54,14011.39,14728.82,12816.16,9303.34,6460.56,6014.71,14656.08,12881.02,12558.37,6322.12,11943.48,5150.43,16650.92,5187.64,5946.21,7240.76,27773.67,12764.1,5894.83,6391.83,8286.66,3304.41,1965.63,2654.07,6101.78,8274.82,8814.52,2944.95,4050.57,6595.26,8737.96,3801.44,2669.71,9520.12,10635.19,1362.32,1288.44,4438.96,4555.65,230.09,11402.38,4904.25,630.44,1833.01,750.59,16467.96,4232.67,3787.08,969.94,1883.36,364.98,5949.34,92755.59,109233.51,144088.08,75038.64,56525.15,99082.28,38200.0,57234.68,68142.15,87217.6,89103.93,47090.2,80234.91,113613.11,49295.24,48213.68,71810.08,82610.56,72494.62,117334.73,43368.69,56221.39,29302.04,44858.57,50034.71,93423.17,27032.31,50616.9,39613.82,66184.41,73468.3,55012.31,10586.67,53893.91,31683.79,19829.75,83352.07,40188.28,38138.36,24253.44,36068.05,36013.75,59594.72,46239.09,48967.15,125048.08,159343.07,6621.01,146064.26,4411.43,94350.12,22453.44,54620.34,10786.42,52140.66,72607.99,22393.22,149088.91,205250.96,18276.51,14067.88,48003.63,40070.14,117634.8,147699.66,18703.03,48093.04,45953.18,107574.34,36097.8,71127.2,131580.48,93737.32,23236.88,60293.6,121965.04,98519.93,40495.48,61705.83,41950.8,59700.8,60171.29,40878.09,98835.75,87513.51,99883.83,72011.34,83933.13,35535.03,53780.81
2010-03-05,7583782.83,762652.5700000001,371411.89,2968993.16,3480725.21,21827.9,27372.05,5172.73,31580.69,8344.13,22839.36,9541.12,12979.74,10438.47,36572.44,16181.87,17098.49,34505.07,26460.12,10900.64,10996.97,17728.27,19966.98,18293.7,41206.78,11969.74,19011.63,29662.3,17968.64,19323.31,21547.63,17758.17,21078.92,14805.98,9719.9,15084.71,19313.36,1196.24,17335.02,20670.93,1510.25,9766.32,6485.19,14875.08,18494.41,15154.51,10244.26,6939.08,6120.6,16608.87,17129.81,21957.34,7768.61,15409.49,6921.65,30437.18,5025.01,8505.71,9651.79,35227.56,15791.52,8287.1,8843.08,8046.72,5396.61,1658.67,2306.46,7661.89,11472.84,10290.68,4114.64,5633.06,7835.69,9782.51,5047.04,4303.68,6143.91,8151.09,1622.49,1730.18,6224.84,5148.97,255.58,13474.49,3557.49,721.85,2028.49,829.74,28286.06,5708.55,5442.93,1216.81,2078.17,578.95,3704.96,108282.86,116410.09,148427.67,88297.11,51942.16,119812.38,40221.29,46041.96,88761.58,89068.56,87498.66,47842.31,89883.85,116816.6,50914.81,51112.67,69469.55,83154.88,84903.57,120605.01,39909.18,60440.14,44198.51,53454.52,47297.76,110526.27,41726.71,54713.71,39737.3,66658.17,96623.55,54199.47,8420.72,54606.55,42401.06,21688.27,82953.79,38381.49,41783.78,36004.78,34013.39,46493.78,55784.4,46846.64,50661.65,132945.44,163301.25,6674.61,152308.67,6136.78,106781.92,22854.68,60258.44,11176.21,53637.96,81556.04,25100.27,160382.53,214383.07,18879.72,14936.45,48882.14,48362.42,123403.92,169171.18,18452.54,56068.8,49416.21,137687.56,37437.84,91305.17,124580.18,123608.76,26743.49,56688.76,121804.73,100472.29,43360.32,63333.45,53135.88,62667.49,59446.36,50560.18,99331.66,117653.87,104223.09,85253.36,88801.88,37893.98,49663.66
2010-03-12,7553294.38,803886.93,474651.81,2929479.08,3345276.56,21043.39,28660.87,5540.28,29452.49,7531.45,24071.96,9538.7,12305.83,11004.74,36380.7,17196.89,15535.51,41709.47,32663.77,11113.97,11749.3,16670.61,20363.22,20528.74,47291.77,13856.38,21126.03,33445.02,17670.43,19216.51,20613.23,27657.02,17840.95,14110.56,10560.49,16365.6,21152.19,1288.4,17034.09,19854.36,1821.07,9574.95,6659.07,16830.74,17878.59,16860.66,10982.32,7281.64,6231.58,17621.39,23766.82,25826.56,14295.57,16168.81,9406.86,38650.5,4289.15,12775.69,10164.48,34864.4,18316.64,7352.33,11771.4,18217.36,4058.41,2098.28,3389.5,12454.11,11499.29,11922.39,4577.7,11312.39,13358.38,11167.41,6071.17,4242.75,9408.89,7211.71,2467.15,1409.5,7196.01,9425.32,375.28,20310.68,4550.48,701.04,2130.6,740.85,36386.44,7851.13,8926.37,1246.56,2803.7,604.35,8887.4,98175.35,172794.2,123961.89,86141.34,61392.46,98939.77,32057.08,53173.17,79396.39,84726.34,91939.72,50064.36,82972.46,117035.19,55520.51,54081.75,72212.3,90231.58,89910.53,110872.05,45339.95,65326.4,39262.87,55402.17,45693.96,107308.17,45494.63,50850.95,37148.05,62004.88,83303.37,63257.9,7269.17,52150.95,35112.07,19238.77,83004.4,35888.75,42388.14,27697.74,39790.09,42847.78,51057.11,41188.17,45854.2,124418.65,164055.79,5953.41,151599.46,6121.68,99505.06,23464.47,58944.66,10392.8,51739.23,76351.79,21368.46,153903.76,197070.21,19115.96,14750.59,43599.11,41328.05,117812.8,161433.3,18412.6,49854.66,43538.94,124360.66,35075.26,80604.61,174608.15,94571.08,23089.62,56827.95,125799.12,97884.01,45925.85,65589.87,47448.89,58694.22,59088.49,43614.18,93051.31,92097.28,98717.19,95079.18,91107.16,36215.81,51091.23
2010-03-19,7271285.61,846686.47,691642.85,2630196.7600000002,3102759.53,22136.64,28446.92,5118.12,30853.27,8719.27,26866.9,11725.85,12520.3,9813.87,38252.33,17434.44,15038.34,49711.13,38671.81,11997.09,13692.46,18413.71,21332.16,20857.82,52993.0,13768.83,23574.08,32835.67,19014.6,20786.77,20732.08,28397.34,17976.97,16871.82,9771.21,16110.52,20833.12,1123.05,16051.67,20871.75,1494.74,9067.36,6269.0,18102.47,18196.17,16921.26,10521.52,7319.59,6547.11,18932.34,41742.21,45310.9,14103.25,23152.5,14971.19,51103.29,6679.62,17946.63,17653.99,48984.39,29762.39,10249.08,15575.19,23749.81,9105.23,1598.3,3681.75,17322.87,15406.38,17223.79,8602.38,12267.22,15401.41,15890.35,10445.96,7735.72,14627.26,10881.68,3205.52,2180.46,13364.45,9929.88,288.7,25461.34,6478.51,814.36,2369.64,786.75,65507.93,9852.84,14487.32,1370.65,3435.76,558.37,10375.63,71165.72,98552.33,115740.42,78347.57,40238.88,86060.84,39060.81,46682.62,73670.7,86650.4,77480.34,45857.28,79055.56,124538.3,50998.54,44556.46,72624.7,67731.64,79445.43,105816.74,37703.5,59826.02,31844.12,52959.16,46132.23,100649.94,42219.9,42703.18,36220.41,57564.4,71846.72,58598.19,6884.95,45941.58,35384.12,18283.18,72332.01,45208.18,37850.82,24960.99,28786.91,44138.54,55198.07,40968.9,51715.46,127434.37,159140.47,5229.88,149409.91,6528.06,99977.96,26921.01,57636.11,9636.54,48149.77,74679.8,20184.24,152316.7,178028.58,16803.29,16741.55,42304.2,38102.1,101318.01,148157.28,17591.61,47866.86,40764.8,104185.14,34710.95,70355.46,143141.25,83985.43,21002.21,52671.3,116620.03,96131.44,37469.44,61335.37,39082.37,55719.21,48532.73,38136.59,90971.54,85639.7,94700.67,72953.12,89942.53,34609.11,45940.84
2010-03-26,7391670.17,1045724.42,664435.14,2704991.22,2976519.39,26229.21,32213.99,6620.12,33401.19,9945.67,28291.37,11452.69,15764.25,11402.28,51956.73,19715.75,17477.41,60176.08,52458.18,17250.52,13304.21,28369.9,29407.82,31624.16,61598.76,16156.06,34691.94,42763.12,23700.36,27648.75,22818.92,42544.71,22356.19,20522.53,11678.69,16990.95,24200.55,1077.68,18604.09,24925.29,1664.27,10584.22,6535.76,23789.42,20505.33,22552.51,10681.01,6552.64,7908.38,25610.76,26679.52,22084.09,11458.41,22740.97,9349.8,37527.31,5238.4,12889.39,15084.93,49448.06,19302.14,12933.86,18667.98,39181.68,8299.12,2328.69,5982.59,24822.96,18624.81,30674.32,6097.25,21375.77,16826.62,20035.87,19379.33,7239.88,28604.15,13276.79,5646.42,1343.85,6169.29,9447.78,381.12,20383.99,6869.74,538.11,2215.34,1151.06,35129.02,12593.35,10528.48,1271.2,2898.31,519.33,21194.06,95855.41,96659.43,116425.28,80933.38,46415.78,101113.08,29647.58,50914.24,73889.84,91895.04,80232.74,50651.6,74086.01,104886.27,52557.48,53731.91,61799.82,78918.91,83452.94,98018.32,47089.61,61154.03,44767.82,51080.64,45891.91,94150.94,40046.13,52007.19,49085.04,60074.41,74229.03,52104.69,7909.21,44643.78,42078.94,19500.9,76755.31,36102.75,36937.2,32220.01,35953.24,35260.23,56102.79,39978.43,47781.93,116688.75,146492.59,5658.15,129894.42,6638.75,89084.14,23720.05,50863.4,10385.64,46291.94,68681.84,19842.46,140088.85,167512.67,17323.86,14325.17,41349.24,36013.78,111316.13,131205.08,17532.41,47645.58,43243.79,106515.39,34261.26,69547.55,142029.45,79244.65,22783.59,53428.72,109189.3,92673.23,33483.33,60651.46,38430.88,52002.2,58196.27,39305.08,96107.0,84788.54,95503.93,65105.69,81222.37,36133.84,44116.97
2010-04-02,9446139.03,2451952.54,885158.23,2818801.67,3290226.59,57258.43,82766.07,16399.01,75535.18,21113.02,62544.57,20518.44,36979.1,24205.64,131853.01,54900.47,43175.19,139870.9,148029.47,49610.9,21239.35,63964.65,88055.13,81550.15,149743.97,32659.91,91631.47,112577.06,68048.67,58125.23,44783.32,93213.63,51102.17,48921.67,13723.71,32735.4,51765.22,1403.55,38240.42,57393.62,2194.08,16181.4,8501.85,58728.61,44018.34,49917.32,15799.22,14411.74,10124.62,66437.66,46060.69,48041.98,15256.07,35581.96,14932.86,60799.86,7797.52,26715.45,28892.41,47481.02,29952.79,12759.85,19275.64,39508.16,17045.0,3649.36,7019.88,18272.42,29922.17,37628.96,11109.12,19113.5,22291.23,21582.77,22341.91,11179.27,27619.85,12874.33,4176.83,2397.65,13792.4,13910.36,424.45,29756.75,6034.71,805.49,2826.71,942.33,57633.43,13001.26,19419.68,1369.23,3345.56,764.49,19850.87,101566.87,96264.28,138917.47,76986.49,52873.03,93885.24,36619.86,48461.92,69583.72,89666.77,83095.63,48445.81,85511.15,126730.81,59354.12,57605.39,69495.98,73557.86,81360.71,107939.52,39699.21,59923.89,43249.97,55289.54,46254.75,110091.39,39741.4,54301.04,41850.6,58478.84,84533.89,53034.89,10743.06,51669.85,33531.91,16058.11,90764.3,47183.53,46972.78,27954.95,33590.0,37496.16,45061.04,44192.1,49211.84,126907.41,166476.34,5877.98,140407.04,6967.15,102967.83,24548.3,57613.48,11030.47,49222.36,75746.77,20499.09,151170.23,203457.42,18356.88,14027.93,40847.94,40686.87,117369.97,163022.59,18024.99,53183.7,44928.05,122311.27,34853.02,76722.81,164575.47,107483.86,23774.87,53066.05,111765.61,92755.98,34696.36,62631.68,42067.35,53299.45,57403.53,45012.26,103866.03,107666.84,107554.33,68596.57,84400.09,37035.1,45347.27
2010-04-09,8614098.6,1518946.82,1109753.92,2820286.76,3165111.1,42960.91,66560.0,8316.05,56416.66,15310.29,44695.23,13658.16,25305.29,13421.94,89207.79,38869.15,42083.31,70174.14,74278.88,31548.24,14037.66,32836.67,53624.2,56709.98,72907.28,26713.86,37028.52,35152.11,42921.78,28852.78,32979.09,59242.38,48220.34,26949.49,13070.12,31830.41,32873.37,2192.39,28757.99,28909.17,2375.91,11873.31,7413.1,31410.11,27537.15,25093.86,16035.28,10019.06,5981.69,42591.72,52976.67,58887.31,17275.89,38716.67,15053.1,56726.3,6077.25,34847.39,23306.83,53134.11,30273.67,13026.35,18038.29,61477.9,23022.41,3550.86,6014.93,32939.6,41836.73,48060.04,12392.22,32625.2,35984.55,38893.99,30187.74,22672.97,49755.5,14001.02,7849.68,2462.73,16028.63,19220.14,436.41,32672.83,15534.99,1295.1,2875.95,1175.75,54274.92,19574.04,25140.47,2202.56,5937.06,654.74,30662.43,98689.46,108465.19,145589.34,83186.68,58837.57,105448.82,28386.34,54267.13,84788.93,84473.01,77513.37,51041.85,67541.45,106240.52,53246.28,51162.1,69917.35,75018.59,81094.24,103603.22,42031.19,76940.35,40174.85,51413.59,50087.44,120889.13,36307.85,50276.37,37287.25,59177.85,91940.31,57047.62,9915.99,53866.02,34583.07,16694.82,79761.94,30295.01,37060.49,33824.72,37057.54,44996.29,57031.7,36306.74,46807.19,129466.97,156241.85,6496.32,135229.8,7281.32,98645.97,19008.23,62908.86,11653.94,50255.73,85418.24,22459.05,140339.66,180584.36,15855.63,12570.95,33895.56,38136.25,107752.8,141224.11,17804.87,42167.52,38229.72,116485.42,30486.37,82468.69,151691.59,100015.71,21338.94,51424.78,119479.49,91971.5,46048.34,63392.22,44228.05,56876.04,55172.42,42418.86,95180.23,92320.14,98011.31,86597.46,92534.76,32922.94,40418.13
